timestamp_utc,interval_sec,metric,value,unit
2026-07-04 18:42:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:42:40+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:42:40+00:00,20,cpu.usagemhz.average,18.0,MHz
2026-07-04 18:42:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:42:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:42:40+00:00,20,power.energy.summation,409.307,J
2026-07-04 18:42:40+00:00,20,power.power.average,20.465,W
2026-07-04 18:43:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:43:00+00:00,20,cpu.ready.summation,29.0,ms
2026-07-04 18:43:00+00:00,20,cpu.usagemhz.average,19.0,MHz
2026-07-04 18:43:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:43:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:43:00+00:00,20,power.energy.summation,320.399,J
2026-07-04 18:43:00+00:00,20,power.power.average,16.019,W
2026-07-04 18:43:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:43:20+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:43:20+00:00,20,cpu.usagemhz.average,22.0,MHz
2026-07-04 18:43:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:43:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:43:20+00:00,20,power.energy.summation,485.547,J
2026-07-04 18:43:20+00:00,20,power.power.average,24.277,W
2026-07-04 18:43:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:43:40+00:00,20,cpu.ready.summation,23.0,ms
2026-07-04 18:43:40+00:00,20,cpu.usagemhz.average,20.0,MHz
2026-07-04 18:43:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:43:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:43:40+00:00,20,power.energy.summation,425.927,J
2026-07-04 18:43:40+00:00,20,power.power.average,21.296,W
2026-07-04 18:44:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:44:00+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:44:00+00:00,20,cpu.usagemhz.average,27.0,MHz
2026-07-04 18:44:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:44:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:44:00+00:00,20,power.energy.summation,511.507,J
2026-07-04 18:44:00+00:00,20,power.power.average,25.575,W
2026-07-04 18:44:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:44:20+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:44:20+00:00,20,cpu.usagemhz.average,24.0,MHz
2026-07-04 18:44:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:44:20+00:00,20,mem.consumed.average,67108864.0,KB
