id,Lat,Lon,bandwidth,N_Latitude,N_Longitude,Latitudes,Longitudes,N_Designacoes,Designacoes,N_Setores,Setores
28,-8.77103,-63.89664,100,1,1,-8.77103,-63.89664,1,100MG7W,3,120;20;240
29,-8.77053,-63.8237,100,1,1,-8.77053,-63.8237,1,100MG7W,3,100;210;300
30,-8.76989,-63.8759,100,1,1,-8.76989,-63.8759,1,100MG7W,3,115;240;340
31,-8.76908,-63.8397,50,1,1,-8.76908,-63.8397,1,50M0G7W,3,160;20;250
32,-8.76765,-63.86037,100,1,1,-8.76765,-63.86037,1,100MG7W,3,135;190;5
33,-8.76688,-63.85081,100,1,1,-8.76688,-63.85081,1,100MG7W,3,0;120;280
34,-8.76592,-63.88559,100,1,1,-8.76592,-63.88559,1,100MG7W,3,120;20;225
35,-8.7645,-63.84415,100,1,1,-8.7645,-63.84415,1,100MG7W,3,230;300;60
36,-8.76449,-63.90569,100,1,1,-8.76449,-63.90569,1,100MG7W,3,115;15;230
37,-8.7639,-63.87056,100,1,1,-8.7639,-63.87056,1,100MG7W,3,120;240;60
38,-8.76356,-63.8953,100,1,1,-8.76356,-63.8953,1,100MG7W,3,0;110;230
39,-8.76344,-63.90892,100,1,1,-8.76344,-63.90892,1,100MG7W,3,130;350;80
40,-8.76277,-63.85088,100,1,1,-8.76277,-63.85088,1,100MG7W,3,130;250;340
41,-8.76218,-63.90272,100,1,1,-8.76218,-63.90272,1,100MG7W,3,160;350;70
42,-8.76153,-63.83413,100,1,1,-8.76153,-63.83413,1,100MG7W,3,230;345;80
43,-8.76032,-63.82029,100,1,1,-8.76032,-63.82029,1,100MD7W,3,120;230;50
44,-8.75916,-63.89677,100,1,1,-8.75916,-63.89677,1,100MG7W,3,10;120;240
45,-8.75897,-63.87961,100,1,1,-8.75897,-63.87961,1,100MG7W,3,175;20;300
46,-8.75868,-63.8443,50,1,1,-8.75868,-63.8443,1,50M0G7W,3,145;20;255
47,-8.75842,-63.85993,100,1,1,-8.75842,-63.85993,1,100MG7W,3,120;220;320
48,-8.7576,-63.87,100,1,1,-8.7576,-63.87,1,100MG7W,3,100;240;350
49,-8.75711,-63.89126,50,1,1,-8.75711,-63.89126,2,100MG7W;50M0G7W,3,120;240;350
50,-8.7563,-63.89617,100,1,1,-8.7563,-63.89617,1,100MG7W,3,170;280;80
51,-8.75629,-63.91027,10,1,1,-8.75629,-63.91027,2,100MG7W;10M0G7W,3,150;290;30
52,-8.75361,-63.89979,100,1,1,-8.75361,-63.89979,1,100MG7W,3,130;290;340
53,-8.75292,-63.87865,50,1,1,-8.75292,-63.87865,1,50M0G7W,3,220;280;90
54,-8.7529,-63.8247,100,1,1,-8.7529,-63.8247,1,100MG7W,3,120;240;320
55,-8.75179,-63.9071,100,1,1,-8.75179,-63.9071,1,100MG7W,3,140;270;35
56,-8.75153,-63.8912,50,1,1,-8.75153,-63.8912,1,50M0G7W,3,100;15;260
57,-8.75081,-63.84847,100,1,1,-8.75081,-63.84847,1,100MG7W,3,130;260;340
58,-8.7508,-63.85296,100,1,1,-8.7508,-63.85296,1,100MG7W,3,160;300;50
59,-8.74858,-63.8613,100,1,1,-8.74858,-63.8613,1,100MG7W,3,200;320;90
60,-8.7483,-63.8767,50,1,1,-8.7483,-63.8767,2,100MG7W;50M0G7W,1,0
61,-8.74691,-63.88266,100,1,1,-8.74691,-63.88266,1,100MG7W,3,230;315;70
62,-8.74683,-63.91198,50,1,1,-8.74683,-63.91198,1,50M0G7W,3,0;120;240
63,-8.74404,-63.85879,100,1,1,-8.74404,-63.85879,1,100MG7W,3,230;340;90
64,-8.74369,-63.9037,50,1,1,-8.74369,-63.9037,2,100MG7W;50M0G7W,3,200;350;90
65,-8.74252,-63.87269,50,1,1,-8.74252,-63.87269,1,50M0G7W,3,0;140;240
66,-8.74086,-63.89528,50,1,1,-8.74086,-63.89528,2,100MG7W;50M0G7W,3,100;20;200
67,-8.73858,-63.89977,100,1,1,-8.73858,-63.89977,1,100MD7W,3,120;215;25
68,-8.73639,-63.8552,100,1,1,-8.73639,-63.8552,1,100MG7W,3,10;110;240
69,-8.73628,-63.88662,100,1,1,-8.73628,-63.88662,1,100MG7W,3,0;160;260
70,-8.73561,-63.86623,100,1,1,-8.73561,-63.86623,1,100MG7W,3,150;310;50
71,-8.72737,-63.87213,100,1,1,-8.72737,-63.87213,1,100MG7W,3,200;330;70
72,-8.72269,-63.85436,100,1,1,-8.72269,-63.85436,1,100MG7W,3,220;340;80
73,-8.72112,-63.90608,100,1,1,-8.72112,-63.90608,1,100MG7W,3,180;300;40
74,-8.71448,-63.89853,100,1,1,-8.71448,-63.89853,2,100MG7W;50M0G7W,2,0;120
