state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,689865813,R GASPAR SILVEIRA MARTINS,QUADRA 76  LOTE 29  ESQUINA COM RUA LINO COUTINHO,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,100,FB,,,760,,23.8,25,60,-2,X,50,94692203257,263,-16.6541,-49.3184,G,2023-10-30,2007-11-29,,2bb795f81564a8ae,2027-07-02,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,689865813,R GASPAR SILVEIRA MARTINS,QUADRA 76  LOTE 29  ESQUINA COM RUA LINO COUTINHO,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,230,FB,,,760,,23.8,25,60,-5,X,50,94692203257,263,-16.6541,-49.3184,G,2023-10-30,2007-11-29,,2bb795f81564a8af,2027-07-02,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,689865813,R GASPAR SILVEIRA MARTINS,QUADRA 76  LOTE 29  ESQUINA COM RUA LINO COUTINHO,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,350,FB,,,760,,23.8,25,60,-1,X,50,94692203257,263,-16.6541,-49.3184,G,2023-10-30,2007-11-29,,2bb795f81564a8b0,2027-07-02,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,684211394,AV ALFREDO NASSER,QUADRA QI-8 - LOTE 19,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,300,FB,,,760,,23.8,25,60,-1,X,41,94692203257,263,-16.6579,-49.386,G,2023-10-27,2004-06-18,,213495f8399ef1f2,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,684211394,AV ALFREDO NASSER,QUADRA QI-8 - LOTE 19,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,75,FB,,,760,,23.8,25,60,-1,X,41,94692203257,263,-16.6579,-49.386,G,2023-10-27,2004-06-18,,213495f8399ef1f3,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,684211394,AV ALFREDO NASSER,QUADRA QI-8 - LOTE 19,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,170,FB,,,760,,23.8,25,60,-1,X,41,94692203257,263,-16.6579,-49.386,G,2023-10-27,2004-06-18,,213495f8399ef1f4,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,698189078,RUA JOSÉ BONIFÁCIO,ESQ C/ AV SANTA MARIA  QD 23  LT 19,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,23.8,25,60,0,X,40,94692203257,263,-16.66834,-49.33056,G,2023-10-30,2012-12-20,,213495f8399ef2a5,2027-07-02,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,698189078,RUA JOSÉ BONIFÁCIO,ESQ C/ AV SANTA MARIA  QD 23  LT 19,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,120,FB,,,760,,23.8,25,60,-1,X,40,94692203257,263,-16.66834,-49.33056,G,2023-10-30,2012-12-20,,213495f8399ef2a6,2027-07-02,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,698189078,RUA JOSÉ BONIFÁCIO,ESQ C/ AV SANTA MARIA  QD 23  LT 19,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,245,FB,,,760,,23.8,25,60,-2,X,40,94692203257,263,-16.66834,-49.33056,G,2023-10-30,2012-12-20,,213495f8399ef2a7,2027-07-02,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,1006604275,R SETE STEMBRO QD 41  LT 16,,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,25,25,60,0,X,40,116652103257,199.5,-16.72927,-49.21116,G,2023-10-27,2018-05-14,,213495f8399ef313,2032-12-22,,,Goiânia
