state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000839874,R GUANABARA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,120,FB,,,760,,25,25,60,0,X,26,116652103257,199.5,-8.75711,-63.89126,G,2023-10-23,2014-12-01,,3f4af5f803d10f33,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000839874,R GUANABARA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,240,FB,,,760,,25,25,60,0,X,26,116652103257,199.5,-8.75711,-63.89126,G,2023-10-23,2014-12-01,,3f4af5f803d10f34,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000839874,R GUANABARA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,350,FB,,,760,072202203257,23.5,25,60,0,X,26,072202203257,50,-8.75711,-63.89126,G,2023-10-23,2014-12-01,,3f4af5f803d10f35,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000839874,R GUANABARA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,120,FB,,,760,072202203257,23.5,25,60,0,X,26,072202203257,50,-8.75711,-63.89126,G,2023-10-23,2014-12-01,,3f4af5f803d10f36,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000839874,R GUANABARA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,240,FB,,,760,072202203257,23.5,25,60,0,X,26,072202203257,50,-8.75711,-63.89126,G,2023-10-23,2014-12-01,,3f4af5f803d10f37,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000725798,R SUCUPIRA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,40,FB,,,760,,23.8,25,60,0,X,35,094692203257,263,-8.7916,-63.88946,G,2023-10-27,2014-11-05,,3f4af5f803d10f47,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000725798,R SUCUPIRA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,150,FB,,,760,,23.8,25,60,0,X,35,094692203257,263,-8.7916,-63.88946,G,2023-10-27,2014-11-05,,3f4af5f803d10f48,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000725798,R SUCUPIRA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,250,FB,,,760,,23.8,25,60,-1,X,35,094692203257,263,-8.7916,-63.88946,G,2023-10-27,2014-11-05,,3f4af5f803d10f49,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1002450184,AV FARQUAR,SITE NOVO CAPACIDADE,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,120,FB,,,760,072202203257,23.5,25,60,0,X,43,072202203257,50,-8.74683,-63.91198,G,2023-10-11,2016-01-18,,26eaf5f80326664a,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1002450184,AV FARQUAR,SITE NOVO CAPACIDADE,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,240,FB,,,760,072202203257,23.5,25,60,0,X,43,072202203257,50,-8.74683,-63.91198,G,2023-10-11,2016-01-18,,26eaf5f80326664b,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,684688522,R CLÁUDIO DA COSTA,,RO,1100205,50M0G7W,NR,SA-NSA,,2325,2325,250,FB,,,760,072202203257,23.5,25,60,0,X,60,072202203257,50,-8.76908,-63.8397,G,2023-10-09,2004-12-13,,78c485f8034d384f,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,692924655,R JACY PARANÁ,CONDOMINIO RESIDENCIAL CHICO TORRES,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,120,FB,,,760,,23.8,25,60,-2,X,33.65,094692203257,263,-8.76592,-63.88559,G,2023-10-23,2010-12-07,,26eaf5f80320c2c7,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,692924655,R JACY PARANÁ,CONDOMINIO RESIDENCIAL CHICO TORRES,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,20,FB,,,760,,23.8,25,60,-2,X,33.65,094692203257,263,-8.76592,-63.88559,G,2023-10-23,2010-12-07,,26eaf5f80320c2c8,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,692924655,R JACY PARANÁ,CONDOMINIO RESIDENCIAL CHICO TORRES,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,225,FB,,,760,,23.8,25,60,-2,X,33.65,094692203257,263,-8.76592,-63.88559,G,2023-10-23,2010-12-07,,26eaf5f80320c2c9,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1001291457,R VITÓRIA RÉGIA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,120,FB,,,760,,23.8,25,60,-1,X,38,094692203257,263,-8.78862,-63.86528,G,2023-10-23,2015-03-31,,26eaf5f80320c2df,2032-12-22,,,Porto Velho
